Date,Year,MonthName,MonthNumber,Quarter,WeekNumber,DayOfWeek
2023-12-14,2023,December,12,4,50,Thursday
2023-12-15,2023,December,12,4,50,Friday
2023-12-16,2023,December,12,4,50,Saturday
2023-12-17,2023,December,12,4,50,Sunday
2023-12-18,2023,December,12,4,51,Monday
2023-12-19,2023,December,12,4,51,Tuesday
2023-12-20,2023,December,12,4,51,Wednesday
2023-12-21,2023,December,12,4,51,Thursday
2023-12-22,2023,December,12,4,51,Friday
2023-12-23,2023,December,12,4,51,Saturday
2023-12-24,2023,December,12,4,51,Sunday
2023-12-25,2023,December,12,4,52,Monday
2023-12-26,2023,December,12,4,52,Tuesday
2023-12-27,2023,December,12,4,52,Wednesday
2023-12-28,2023,December,12,4,52,Thursday
2023-12-29,2023,December,12,4,52,Friday
2023-12-30,2023,December,12,4,52,Saturday
2023-12-31,2023,December,12,4,52,Sunday
